과목,시험,번호,고를 수 있는 단원,그림,출제의도,문제글 앞부분
공통수학1,2018년 11월 고1,13,경우의 수|행렬|다항식|방정식과 부등식,go1x/021_13.png,,13.항공기가수평면에서일정한선회속도와선회각을유지한채360°회전하는선회비행을할때생기는원의반지름을선회반경이라한다.선회각항공기의선회
공통수학1,2018년 11월 고1,16,경우의 수|행렬|다항식|방정식과 부등식,go1x/021_16.png,,"16.2이상의세자연수p,q,r에대하여42×(42-1)×(42+6)+5×42-5=_p×_q×r일때,]p+q+r의값은?[4점]"
공통수학1,2018년 3월 고2 가형,14,경우의 수|행렬|다항식|방정식과 부등식,go2m/008_14.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━14.x에대한방정식(1+x)(1+x^2)(1+x^4)=x^7+x^6
공통수학1,2018년 3월 고2 나형,6,경우의 수|행렬|다항식|방정식과 부등식,go2m/009_06.png,,"6.모든실수x에대하여등식x^3-2x^2-x+14=(x+a)(x^2+bx+7)이성립할때,a+b의값은?(단,a,b는상수이다.)[3"
공통수학1,2020년 3월 고2,8,경우의 수|행렬|다항식|방정식과 부등식,go2m/005_08.png,,8곡선와직선가서로다른두점에서만나고두교점의좌표의곱이일때상수의값은3점
공통수학1,2021년 11월 고1,2,경우의 수|행렬|다항식|방정식과 부등식,go1x/012_02.png,,"2.모든실수x에대하여등식x^2+(a+1)x+4=x^2+3x+b가성립할때,a+b의값은?(단,a,b는상수이다.)[2점]"
공통수학1,2021년 11월 고1,16,경우의 수|행렬|다항식|방정식과 부등식,go1x/012_16.png,,"16.2이상의네자연수a,b,C,d에대하여(14^2+2×14)^2-18×(14^2+2×14)+45=a×b×C×d일때,a+b+C+"
공통수학1,2023년 6월 고1,14,경우의 수|행렬|다항식|방정식과 부등식,go1x/008_14.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━14.분자사이에인력이나반발력이작용하지않고분자의크기를무시할수있는가상의기
공통수학1,2025년 6월 고1,14,경우의 수|행렬|다항식|방정식과 부등식,go1x/002_14.png,,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━14.그림과같이모든모서리의길이의합이16√2,부피가4√2,AG=2√3"
공통수학1,2025년 6월 고1,22,경우의 수|행렬|다항식|방정식과 부등식,go1x/002_22.png,,"22.등식x^2+(a+1)x+8=x^2+10x+b가모든실수x에대하여항상성립할때,a+b의값을구하시오.(단,a,b는상수이다.)[3"
공통수학1,2025년 6월 고1,24,경우의 수|행렬|다항식|방정식과 부등식,go1x/002_24.png,,"3_32724.k-=6일때,k-의값을구하시오.[3점]k_k^3"
공통수학1,2025년 6월 고1,25,경우의 수|행렬|다항식|방정식과 부등식,go1x/002_25.png,,"√-4a√-32√4a25.a가음수일때,-의값을구하시오.√a√-4√2√-a[3점━━━━━━━━━━━━━━━━━━━━━━━━━━━"
공통수학1,2025년 9월 고1,7,경우의 수|행렬|다항식|방정식과 부등식,go1x/001_07.png,,"7.한개의주사위를두번던져서나오는눈의수를차례로a,b라하자.a^2+b≤6을만족시키는a,b의모든순서쌍(a,b)의개수는?[3점]"
공통수학2,18학년도 9월 나형,7,집합과 명제|함수와 그래프|도형의 방정식,suneung/081_07.png,,"17.닫힌구간[2,4]에서함수y=+3의최댓값은?[3점]x-1"
공통수학2,2018년 11월 고2 나형,5,집합과 명제|함수와 그래프|도형의 방정식,go2x/025_05.png,,5.함수f(x)=x-2에대하여f-^1(0)의값은?[3점]
공통수학2,2018년 3월 고2 가형,26,집합과 명제|함수와 그래프|도형의 방정식,go2m/008_26.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━26.어느인기그룹의공연을준비하고있는기획사는다음과같은조건으로총1500
공통수학2,2018년 3월 고2 나형,11,집합과 명제|함수와 그래프|도형의 방정식,go2m/009_11.png,,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━11.실수x에대한두조건_p:|x-a|≤1,_q:x^2-2x-8>0에대하"
공통수학2,2018년 3월 고2 나형,14,집합과 명제|함수와 그래프|도형의 방정식,go2m/009_14.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━14.2018평창동계올림픽대회및동계패럴림픽대회자원봉사포털사이트에접속한
공통수학2,2018년 6월 고1,10,집합과 명제|함수와 그래프|도형의 방정식,go1x/023_10.png,,"10.밑면의반지름의길이가r,높이가h인원기둥모양의용기에대하여r+2h=8,r^2-2h^2=8일때,이용기의부피는?(단,용기의두께는무"
공통수학2,2018년 6월 고2 가형,11,집합과 명제|함수와 그래프|도형의 방정식,go2x/028_11.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━11.어느학급전체학생30명이있다.이학급의학생들중방과후수업으로수학을신청한
공통수학2,2018년 9월 고1,18,집합과 명제|함수와 그래프|도형의 방정식,go1x/022_18.png,,18.그림과같이어느행사장에서바닥면이등변사다리꼴이되도록무대위에3개의직사각형모양의스크린을설치하려고한다.ABCD양옆스크린의하단과중앙
공통수학2,2018년 9월 고2 나형,24,집합과 명제|함수와 그래프|도형의 방정식,go2x/027_24.png,,24.함수f(x)=3x-7에대하여f-^1(5)의값을구하시오.[3점
공통수학2,2019년 3월 고2 가형,9,집합과 명제|함수와 그래프|도형의 방정식,go2m/006_09.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━9.함수f(x)=√2x-4+3에대하여f-^1(5)의값은?[3점]
공통수학2,2021년 3월 고2,29,집합과 명제|함수와 그래프|도형의 방정식,go2m/004_29.png,조건을 만족시키는 원 위의 점의 위치 를 추론한다,"29.원(x-a)^2+(_y+a)^2=9a^2(a>0)과x축이만나는두점을각각A,B라하자.삼각형ABP의넓이가8√2가되도록하는원위"
공통수학2,2022년 3월 고2,2,집합과 명제|함수와 그래프|도형의 방정식,go2m/003_02.png,조건의 부정을 이해한다,2.실수x에대한조건‘x는1보다크다.′의부정은?[2점]
공통수학2,2022년 6월 고1,7,집합과 명제|함수와 그래프|도형의 방정식,go1x/011_07.png,방정식을 활용하여 실생활 문제 해결하기,"7.어느가족이작년까지한변의길이가10m인정사각형모양의밭을가꾸었다.올해는그림과같이가로의길이를xm만큼,세로의길이를(x-10)m만큼늘"
공통수학2,2024년 6월 고1,19,집합과 명제|함수와 그래프|도형의 방정식,go1x/005_19.png,,"19.그림과같이길이가2a인선분AB를지름으로하는반원이있다.호AB위의두점C,D가AC=CD=a-1,BD=83^1을만족시킬때,a-의값"
기하,2018년 3월 고2 가형,28,벡터|공간도형과 공간좌표|이차곡선,go2m/008_28.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━28.그림과같이좌표평면위에제1사분면의점A와y축위의점B에대하여AB=A
기하,22학년도 수능 기하,25,벡터|공간도형과 공간좌표|이차곡선,suneung/051_25.png,,"25.좌표평면에서두직선x+1_y-5=_y-3,x-2=23가이루는예각의크기를θ라할때,cosθ의값은?[3점]1√5√6√7√2"
기하,22학년도 수능 기하,27,벡터|공간도형과 공간좌표|이차곡선,suneung/051_27.png,,"27.그림과같이한모서리의길이가4인정육면체ABCD-EFGH가있다.선분AD의중점을M이라할때,삼각형MEG의넓이는?[3점]212325"
기하,23학년도 6월 기하,25,벡터|공간도형과 공간좌표|이차곡선,suneung/047_25.png,좌표평면에서 두 직선의,"25.좌표평면에서두직선x-3_y-52-_y=,x-1=433가이루는예각의크기를θ라할때,cosθ의값은?[3점]√11√101√2√7"
기하,27학년도 9월 기하,26,벡터|공간도형과 공간좌표|이차곡선,n2709mp/003_26.png,,"26.그림과같이밑면의지름의길이가6,높이가3인원기둥이있다.선분AB는이원기둥의한밑면의지름이고,C,D는다른밑면의둘레위의서로다른두점이"
대수,18학년도 수능 가형,5,수열|삼각함수|지수함수와 로그함수,suneung/078_05.png,,"x-1(3)15.닫힌구간[1,3]에서함수f(x)=1+의최댓값은?[3점]578"
대수,2018년 11월 고2 가형,23,수열|삼각함수|지수함수와 로그함수,go2x/024_23.png,,"x-5(3)123.닫힌구간[1,5]에서함수f(x)=의최댓값을구하시오.[3점]"
대수,2018년 11월 고2 나형,22,수열|삼각함수|지수함수와 로그함수,go2x/025_22.png,,"22.lo_(g2)a=3일때,양수a의값을구하시오.[3점]]"
대수,2018년 3월 고2 가형,3,수열|삼각함수|지수함수와 로그함수,go2m/008_03.png,,13.lo_(g2)8+lo_(g2)의값은?[2점]2
대수,2018년 3월 고3 나형,12,수열|삼각함수|지수함수와 로그함수,go3/103_12.png,,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━?12.^(1+2)의값은?[3점]lo_(g4)18lo_(g9)18]
대수,2018년 9월 고2 가형,22,수열|삼각함수|지수함수와 로그함수,go2x/026_22.png,,122.lo_(g5)50+lo_(g5)의값을구하시오.[3점]2]
대수,2018년 9월 고2 나형,4,수열|삼각함수|지수함수와 로그함수,go2x/027_04.png,,14.lo_(g7)49+lo_(g7)의값은?[3점]7?
대수,2019년 3월 고3 나형,1,수열|삼각함수|지수함수와 로그함수,go3/095_01.png,,1.lo_(g6)2+lo_(g6)3의값은?[2점]
대수,2019년 3월 고3 나형,10,수열|삼각함수|지수함수와 로그함수,go3/095_10.png,,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━10.lo_g1·44=a일때,2lo_g12를a로나타낸것은?[3점]"
대수,2019년 6월 고2 나형,13,수열|삼각함수|지수함수와 로그함수,go2x/023_13.png,,x^2-4x+113.함수f(x)=((1)/(5))은x=a에서최댓값M을갖는다.a+M의값은?[3점]
대수,2020년 3월 고3 나형,22,수열|삼각함수|지수함수와 로그함수,go3/087_22.png,자연수의 거듭제곱의 합을 계산하여 값 을 구한다,22의값을구하시오3점
대수,2020년 4월 고3 가형,13,수열|삼각함수|지수함수와 로그함수,go3/084_13.png,,의값은3점
대수,2020년 4월 고3 가형,16,수열|삼각함수|지수함수와 로그함수,go3/084_16.png,,두함수fxgx가있다정수k에대하여를만족시키는자연수n의개수를hk라할때h0h3의값은4점
대수,2020년 4월 고3 나형,15,수열|삼각함수|지수함수와 로그함수,go3/085_15.png,,두함수의주기가서로같을때양수a의값은4점
대수,2020년 4월 고3 나형,17,수열|삼각함수|지수함수와 로그함수,go3/085_17.png,,그림과같이길이가12인선분ab를지름으로하는반원의호ab위에점c가있다호cb의길이가2파이일때두선분abac와호cb로둘러싸인부분의넓이는4
대수,2020년 6월 고2,7,수열|삼각함수|지수함수와 로그함수,go2x/017_07.png,,2x(3)17.-1≤x≤2에서함수f(x)=2+의최댓값은?[3점]
대수,2021년 11월 고2,2,수열|삼각함수|지수함수와 로그함수,go2x/012_02.png,,2.lo_(g3)18-lo_(g3)2의값은?[2점]
대수,2021년 11월 고2,5,수열|삼각함수|지수함수와 로그함수,go2x/012_05.png,,x-7(3)15.부등식≥9를만족시키는모든자연수x의개수는?[3점
대수,2021년 11월 고2,9,수열|삼각함수|지수함수와 로그함수,go2x/012_09.png,,"(2)_1x-a9.닫힌구간[1,3]에서정의된함수f(x)=+1의최댓값이5일때,함수f(x)의최솟값은?(단,a는상수이다.)[3점]3"
대수,2023년 4월 고3 공통,1,수열|삼각함수|지수함수와 로그함수,go3/040_01.png,로의 성질을 이용하여 계산하기,21.lo_(g6)4+의값은?[2점]lo_(g3)6
대수,2024년 10월 고2,16,수열|삼각함수|지수함수와 로그함수,go2x/003_16.png,,"16.1보다크고100보다작은두자연수m,n이(m)4lo_(gn)4×+lo_(g2)n=8lo_g2을만족시킬때,m+n의최댓값은?[4"
대수,2024년 6월 고2,28,수열|삼각함수|지수함수와 로그함수,go2x/005_28.png,,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━28.두양수a,b에대하여x≥0에서정의된함수f(x)는(a(4-x^2)("
대수,2025년 6월 고2,10,수열|삼각함수|지수함수와 로그함수,go2x/002_10.png,,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━10.함수y=2-^(x+a)+a의역함수의그래프가점(a+1,1)을지날"
대수,21학년도 수능 가형,1,수열|삼각함수|지수함수와 로그함수,suneung/060_01.png,,의값은2점
대수,21학년도 수능 가형,27,수열|삼각함수|지수함수와 로그함수,suneung/060_27.png,,의값이40이하의자연수가되도록하는자연수n의개수를구하시오4점
대수,21학년도 수능 나형,1,수열|삼각함수|지수함수와 로그함수,suneung/061_01.png,,의값은2점
대수,21학년도 수능 나형,4,수열|삼각함수|지수함수와 로그함수,suneung/061_04.png,,함수의최댓값은3점
대수,21학년도 수능 나형,16,수열|삼각함수|지수함수와 로그함수,suneung/061_16.png,,일때방정식의모든해의합은4점
대수,21학년도 수능 나형,24,수열|삼각함수|지수함수와 로그함수,suneung/061_24.png,,의값을구하시오3점
대수,27학년도 9월 공통,1,수열|삼각함수|지수함수와 로그함수,n2709mp/000_01.png,,31-221.2×4의값은?[2점]11--122
대수,27학년도 9월 공통,10,수열|삼각함수|지수함수와 로그함수,n2709mp/000_10.png,,"10.상수a(a>1)에대하여직선y=7이두곡선x1xy=16a,y=4a과만나는점을각각A,B라하자.AB=4일때,a의값은?[4점]"
미적분Ⅰ,17학년도 6월 나형,28,함수의 극한과 연속|적분|미분,suneung/089_28.png,주어진 구간에서 삼차함,"28.양수a에대하여함수_f(x)=x^3+ax^2-a^2x+2가14닫힌구간[-a,a]에서최댓값M,최솟값를갖는다.27a+M의값을구"
미적분Ⅰ,17학년도 수능 가형,10,함수의 극한과 연속|적분|미분,suneung/084_10.png,,"10.좌표평면위를움직이는점P의시각t(t>0)에서의위치(x,y)가21x=t-,_y=2t+tt이다.시각t=1에서점P의속력은?[3점"
미적분Ⅰ,18학년도 6월 나형,17,함수의 극한과 연속|적분|미분,suneung/083_17.png,수직선 위를 움직이는,"17.수직선위를움직이는점P의시각t(t>0)에서의위치x가x=t^3-12t+k(k는상수)이다.점P의운동방향이원점에서바뀔때,k의값은"
미적분Ⅰ,2018년 11월 고2 나형,12,함수의 극한과 연속|적분|미분,go2x/025_12.png,,"12.함수_f(x)=x^3-6x^2+9x+1이x=α에서극댓값M을가질때,α+M의값은?[3점]"
미적분Ⅰ,2018년 3월 고2 가형,8,함수의 극한과 연속|적분|미분,go2m/008_08.png,,8.x에대한이차방정식(a^2-9)x^2=a+3이서로다른두실근을갖도록하는10보다작은자연수a의개수는?[3점]
미적분Ⅰ,2018년 9월 고2 가형,30,함수의 극한과 연속|적분|미분,go2x/026_30.png,,"30.최고차항의계수의부호가서로다른두삼차다항식고f(x),g(x)가는(|_g(x)-4x-26(x≤a)|f(x)|={|)_g(x)+"
미적분Ⅰ,2019년 3월 고2 나형,16,함수의 극한과 연속|적분|미분,go2m/007_16.png,점의 이동 및 두 직선의 위치 관계와 관련된 문제를 해결한다,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━16.좌표평면에두점A(-3,1),B(1,k)가있다.점A를y축에대하여대"
